"x"	"y"	"altitude"	"altitude_type"	"id"
"258"	266750.51	4044591.27	968.424987792969	"upper"	"S0116"
"259"	266744.58	4044595.66	967.796997070312	"upper"	"S0115"
"260"	266734.6	4044600.12	967.450012207031	"upper"	"S0872"
"261"	266731.87	4044600.24	968.299987792969	"upper"	"S0873"
"262"	266732.57	4044598.83	967.450012207031	"upper"	"S0874"
"263"	266735.84	4044585.66	972.192993164062	"upper"	"S0118"
"264"	266733.76	4044582.18	973.492004394531	"upper"	"S0117"
"265"	267437.89	4044717.02	798.299987792969	"upper"	"S0155"
"266"	267435.19	4044719.97	801.942993164062	"upper"	"S0154"
"267"	267398.07	4044740.08	815.390014648438	"upper"	"S0153"
"268"	267398.29	4044740.4	815.390014648438	"upper"	"S0152"
"269"	267381.9	4044748.25	824.328002929688	"upper"	"S0151"
"270"	267374.55	4044751.92	823.971984863281	"upper"	"S0150"
"271"	267168.76	4044894.29	830.947998046875	"upper"	"S0156"
"272"	267203.11	4044962.96	840.534973144531	"upper"	"S0157"
"273"	265215.34	4040585.17	493.605010986328	"lower"	"Z0557"
"274"	265242.09	4040608.59	511.93798828125	"lower"	"Z0558"
"275"	265246.69	4040608.33	513.072998046875	"lower"	"Z0559"
"276"	265406.3	4040668.35	554.419982910156	"lower"	"Z0356"
"277"	265407.02	4040668.81	554.419982910156	"lower"	"Z0357"
"278"	265409.13	4040669.48	555.31298828125	"lower"	"Z0358"
"279"	265432.78	4040675.77	559.885009765625	"lower"	"Z0560"
"280"	265449.91	4040681.74	561.955017089844	"lower"	"Z0561"
"281"	265458.67	4040683.7	565.945007324219	"lower"	"Z0562"
"282"	265458.67	4040683.7	565.945007324219	"lower"	"Z0562mother"
"283"	265475.05	4040686.91	567.77001953125	"lower"	"Z0565"
"284"	265476.5	4040692.19	570.231994628906	"lower"	"Z0563"
"285"	265478.95	4040692.44	570.776977539062	"lower"	"Z0564"
"286"	265481.67	4040696.43	572.963012695312	"lower"	"Z0569"
"287"	265483.83	4040699.74	575.182006835938	"lower"	"Z0568"
"288"	265478.77	4040702.79	576.460021972656	"lower"	"Z0567"
"289"	265481.05	4040703.29	576.460021972656	"lower"	"Z0566"
"290"	265486.17	4040711.15	578.526977539062	"lower"	"Z0570"
"291"	265492.02	4040711.29	579.3330078125	"lower"	"Z0571"
"292"	265492.04	4040711.68	579.3330078125	"lower"	"Z0572"
"293"	265493.03	4040716.81	581.320007324219	"lower"	"Z0573"
"294"	265497.5	4040719.99	583.1669921875	"lower"	"Z0574"
"295"	265499.66	4040717.84	583.1669921875	"lower"	"Z0575"
"296"	265501.72	4040719.14	583.1669921875	"lower"	"Z0577"
"297"	265503.74	4040716.8	583.085021972656	"lower"	"Z0576"
"298"	265507.42	4040722.21	584.184997558594	"lower"	"Z0578"
"299"	265526.2	4040730.56	589.518005371094	"lower"	"Z0579"
"300"	265539.71	4040731.76	593.432006835938	"lower"	"Z0580"
"301"	265541.95	4040733.53	593.690002441406	"lower"	"Z0581"
"302"	265545.13	4040733.11	594.85302734375	"lower"	"Z0582"
"303"	265557.49	4040735.67	597.1669921875	"lower"	"Z0583"
"304"	265585.01	4040742.95	604.762023925781	"lower"	"Z0585"
"305"	265584.82	4040746.01	604.762023925781	"lower"	"Z0586"
"306"	265590.54	4040748.66	606.432006835938	"lower"	"Z0587"
"307"	265618.52	4040759.53	613.9169921875	"lower"	"Z0588"
"308"	265622.62	4040754.57	613.599975585938	"lower"	"Z0591"
"309"	265623.29	4040756.15	613.599975585938	"lower"	"Z0589"
"310"	265626.51	4040753.03	613.599975585938	"lower"	"Z0590"
"311"	265625.94	4040756.5	613.599975585938	"lower"	"Z0592"
"312"	265629.57	4040758.39	616.114990234375	"lower"	"Z0784"
"313"	265631.54	4040758.14	616.114990234375	"lower"	"Z0594"
"314"	265632.53	4040758.35	617.43798828125	"lower"	"Z0595"
"315"	265633.94	4040758.04	617.43798828125	"lower"	"Z0596"
"316"	265635.7	4040754.5	615.890014648438	"lower"	"Z0783"
"317"	265636.78	4040759.42	617.43798828125	"lower"	"Z0597"
"318"	265631.21	4040765.02	617.320007324219	"lower"	"Z0598"
"319"	265637.39	4040762.2	617.43798828125	"lower"	"Z0599"
"320"	265638.43	4040762.4	618.530029296875	"lower"	"Z0600"
"321"	265639.38	4040762.07	618.530029296875	"lower"	"Z0301"
"322"	265637.09	4040767.44	618.570007324219	"lower"	"Z0862"
"323"	265640.37	4040769.03	620.981994628906	"lower"	"Z0861"
"324"	265648.36	4040760.19	620.335021972656	"lower"	"Z0302"
"325"	265653.55	4040766.02	623.117004394531	"lower"	"Z0303"
"326"	265655.23	4040767.96	624.47998046875	"lower"	"Z0307"
"327"	265656.56	4040768.24	624.47998046875	"lower"	"Z0306"
"328"	265658.19	4040767.04	623.924987792969	"lower"	"Z0305"
"329"	265658.51	4040768.82	625.43798828125	"lower"	"Z0304"
"330"	265661.09	4040768.18	625.43798828125	"lower"	"Z0311"
"331"	265664.21	4040768.98	626.1669921875	"lower"	"Z0308"
"332"	265663.94	4040770.43	626.1669921875	"lower"	"Z0310"
"333"	265664.6	4040770.55	626.1669921875	"lower"	"Z0309"
"334"	265669.94	4040774.48	628.219970703125	"lower"	"Z0313"
"335"	265671.28	4040772.84	628.219970703125	"lower"	"Z0317"
"336"	265671.53	4040769.75	626.64501953125	"lower"	"Z0312"
"337"	265675.37	4040776.33	628.973022460938	"lower"	"Z0318"
"338"	265675.04	4040774.63	628.973022460938	"lower"	"Z0316"
"339"	265675.95	4040771.75	627.22802734375	"lower"	"Z0314"
"340"	265677.4	4040770.53	627.22802734375	"lower"	"Z0315"
