mother	father	SpDist
JV0613	JV0615	91.0260979
JV0613	JV0614	86.4342525
JV0613	JV0613	0.0000000
JV0613	JV0612	3.2209315
JV0613	JV0611	7.9443313
JV0613	JV0610	16.6342568
JV0613	JV0609	17.6243156
JV0613	JV0608	21.4313835
JV0613	JV0607	24.0404929
JV0613	JV0604	27.7544465
JV0613	JV0606	28.5326567
JV0613	JV0605	29.4097348
JV0613	JV0603	31.8168902
JV0613	JV0602	39.5219243
JV0613	JV0601	43.5854391
JV0613	JV0800	46.1990346
JV0613	JV0799	52.1112435
JV0613	JV0798	52.7255232
JV0613	JV0797	58.0318068
JV0613	JV0796	59.0507621
JV0613	JV0793	63.4931059
JV0613	JV0792	64.0881050
JV0613	JV0791	77.3423881
JV0613	JV0788	83.6180752
JV0613	JV0789	84.1097099
JV0613	JV0787	89.8126550
JV0613	JV0786	111.1529982
JV0612	JV0853	164.5295636
JV0612	JV0854	164.7586347
JV0612	JV0852	165.3409620
JV0612	JV0851	157.2005547
JV0612	JV0855	156.0280734
JV0612	JV0624	146.7221473
JV0612	JV0622	129.9304402
JV0612	JV0619	126.3732349
JV0612	JV0620	120.8378757
JV0612	JV0621	120.3225120
JV0612	JV0618	102.4169146
JV0612	JV0617	98.0728352
JV0612	JV0616	95.1743631
JV0612	JV0615	93.0926340
JV0612	JV0614	88.5035773
JV0612	JV0613	3.2209315
JV0612	JV0612	0.0000000
JV0612	JV0611	4.7381431
JV0612	JV0610	15.7392026
JV0612	JV0609	16.7301076
JV0612	JV0608	19.9138193
JV0612	JV0607	22.7871126
JV0612	JV0604	26.0545677
JV0612	JV0606	27.1303612
JV0612	JV0605	27.9332866
JV0612	JV0603	29.9266186
JV0612	JV0602	37.7105834
JV0612	JV0601	41.7159262
JV0612	JV0800	44.4069409
JV0612	JV0799	50.3583409
JV0612	JV0798	50.9735618
JV0612	JV0797	56.4165313
JV0612	JV0796	57.2195675
JV0612	JV0793	61.5814785
JV0612	JV0792	62.1182260
JV0612	JV0791	75.8051621
JV0612	JV0788	82.1553559
JV0612	JV0789	82.6639758
JV0612	JV0787	88.4307514
JV0612	JV0786	110.2107300
JV0611	JV0853	168.3630936
JV0611	JV0854	168.5399410
JV0611	JV0852	169.1085500
JV0611	JV0851	160.8783404
JV0611	JV0855	159.6514507
JV0611	JV0624	150.2508186
JV0611	JV0622	133.5385761
JV0611	JV0619	130.0197235
JV0611	JV0620	124.4935508
JV0611	JV0621	124.0089146
JV0611	JV0618	106.0615972
JV0611	JV0617	101.6546162
JV0611	JV0616	98.6804712
JV0611	JV0615	96.6541179
JV0611	JV0614	92.0732165
JV0611	JV0613	7.9443313
JV0611	JV0612	4.7381431
JV0611	JV0611	0.0000000
JV0611	JV0610	14.9960161
JV0611	JV0609	15.9181186
JV0611	JV0608	17.9235097
JV0611	JV0607	21.1173980
JV0611	JV0604	23.5832674
JV0611	JV0606	25.1074591
JV0611	JV0605	25.7768986
JV0611	JV0603	27.0843590
JV0611	JV0602	34.9008610
JV0611	JV0601	38.7857770
JV0611	JV0800	41.5745403
JV0611	JV0799	47.5498948
JV0611	JV0798	48.1634093
JV0611	JV0797	53.7823856
JV0611	JV0796	54.2662593
JV0611	JV0793	58.4967221
JV0611	JV0792	58.9478414
JV0611	JV0791	73.2222002
JV0611	JV0788	79.6654285
JV0611	JV0789	80.1974245
JV0611	JV0787	86.0446035
JV0611	JV0786	108.4225668
JV0610	JV0853	177.5271224
JV0610	JV0854	177.9136695
JV0610	JV0852	178.5351422
JV0610	JV0851	170.6578615
JV0610	JV0855	169.6279328
JV0610	JV0624	160.5651376
JV0610	JV0622	143.6187822
JV0610	JV0619	139.9749192
JV0610	JV0620	134.4306621
JV0610	JV0621	133.8377622
JV0610	JV0618	116.0944809
JV0610	JV0617	111.9157187
JV0610	JV0616	109.1954015
JV0610	JV0615	107.0005168
JV0610	JV0614	102.4121443
JV0610	JV0613	16.6342568
JV0610	JV0612	15.7392026
JV0610	JV0611	14.9960161
JV0610	JV0610	0.0000000
JV0610	JV0609	0.9947864
JV0610	JV0608	5.8995678
JV0610	JV0607	7.6042751
JV0610	JV0604	12.1646373
JV0610	JV0606	12.2100369
JV0610	JV0605	13.1955523
JV0610	JV0603	16.5999578
JV0610	JV0602	23.8005714
JV0610	JV0601	27.9342084
JV0610	JV0800	30.3204502
JV0610	JV0799	36.0907578
JV0610	JV0798	36.6983501
JV0610	JV0797	41.7460860
JV0610	JV0796	43.1377909
JV0610	JV0793	47.7282411
JV0610	JV0792	48.4603807
JV0610	JV0791	60.9148299
JV0610	JV0788	67.1151995
JV0610	JV0789	67.5931476
JV0610	JV0787	73.2497706
JV0610	JV0786	94.5603643
JV0609	JV0853	178.4089056
JV0609	JV0854	178.8032466
JV0609	JV0852	179.4266140
JV0609	JV0851	171.5627177
JV0609	JV0855	170.5397326
JV0609	JV0624	161.4890244
JV0609	JV0622	144.5365705
JV0609	JV0619	140.8889449
JV0609	JV0620	135.3447749
JV0609	JV0621	134.7482994
JV0609	JV0618	117.0144713
JV0609	JV0617	112.8436640
JV0609	JV0616	110.1315400
JV0609	JV0615	107.9319462
JV0609	JV0614	103.3442040
JV0609	JV0613	17.6243156
JV0609	JV0612	16.7301076
JV0609	JV0611	15.9181186
JV0609	JV0610	0.9947864
JV0609	JV0609	0.0000000
JV0609	JV0608	5.2701139
JV0609	JV0607	6.6890508
JV0609	JV0604	11.3870101
JV0609	JV0606	11.2996726
JV0609	JV0605	12.3022356
JV0609	JV0603	15.8431373
JV0609	JV0602	22.9494227
JV0609	JV0601	27.0835301
JV0609	JV0800	29.4398726
JV0609	JV0799	35.1886629
JV0609	JV0798	35.7950904
JV0609	JV0797	40.8105195
JV0609	JV0796	42.2432598
JV0609	JV0793	46.8466285
JV0609	JV0792	47.5920928
JV0609	JV0791	59.9589668
JV0609	JV0788	66.1495548
JV0609	JV0789	66.6256947
JV0609	JV0787	72.2756979
JV0609	JV0786	93.5658597
JV0608	JV0853	183.1072355
JV0608	JV0854	183.4604178
JV0608	JV0852	184.0733150
JV0608	JV0851	176.1312584
JV0608	JV0855	175.0634539
JV0608	JV0624	165.9277774
JV0608	JV0622	149.0223691
JV0608	JV0619	145.4014075
JV0608	JV0620	139.8575347
JV0608	JV0621	139.2850405
JV0608	JV0618	121.4897699
JV0608	JV0617	117.2603326
JV0608	JV0616	114.4816370
JV0608	JV0615	112.3222066
JV0608	JV0614	107.7307913
JV0608	JV0613	21.4313835
JV0608	JV0612	19.9138193
JV0608	JV0611	17.9235097
JV0608	JV0610	5.8995678
JV0608	JV0609	5.2701139
JV0608	JV0608	0.0000000
JV0608	JV0607	3.3971311
JV0608	JV0604	6.4300311
JV0608	JV0606	7.2360832
JV0608	JV0605	8.0203554
JV0608	JV0603	10.7796150
JV0608	JV0602	18.2154467
JV0608	JV0601	22.3298209
JV0608	JV0800	24.8422261
JV0608	JV0799	30.7142133
JV0608	JV0798	31.3272054
JV0608	JV0797	36.6016939
JV0608	JV0796	37.6997573
JV0608	JV0793	42.2160976
JV0608	JV0792	42.8874550
JV0608	JV0791	55.9374258
JV0608	JV0788	62.2562680
JV0608	JV0789	62.7601665
JV0608	JV0787	68.5174781
JV0608	JV0786	90.5262857
JV0607	JV0853	185.0901818
JV0607	JV0854	185.4890067
JV0607	JV0852	186.1131924
JV0607	JV0851	178.2517268
JV0607	JV0855	177.2274070
JV0607	JV0624	168.1693301
JV0607	JV0622	151.2214403
JV0607	JV0619	147.5757467
JV0607	JV0620	142.0315335
JV0607	JV0621	141.4363362
JV0607	JV0618	123.6978791
JV0607	JV0617	119.5198682
JV0607	JV0616	116.7965672
JV0607	JV0615	114.6039109
JV0607	JV0614	110.0153357
JV0607	JV0613	24.0404929
JV0607	JV0612	22.7871126
JV0607	JV0611	21.1173980
JV0607	JV0610	7.6042751
JV0607	JV0609	6.6890508
JV0607	JV0608	3.3971311
JV0607	JV0607	0.0000000
JV0607	JV0604	5.2500095
JV0607	JV0606	4.6106399
JV0607	JV0605	5.6262243
JV0607	JV0603	9.6429456
JV0607	JV0602	16.3330646
JV0607	JV0601	20.4620869
JV0607	JV0800	22.7668202
JV0607	JV0799	28.5000386
JV0607	JV0798	29.1062553
JV0607	JV0797	34.1470248
