"","offspring","mother","father","SpDist","pop"
"387","S0870F11","S0870","S0122",21.7136754,"PL"
"388","S0870F12","S0870","S0869",15.3436143,"PL"
"389","S0870F13","S0870","S0120",2.8411265,"PL"
"390","S0870F14","S0870","S0101",226.7845718,"PL"
"391","S0870F15","S0870","S0869",15.3436143,"PL"
"392","Z0357F01","Z0357","Z0347",407.7999865,"ZAP"
"393","Z0357F02","Z0357","Z0568",82.8036291,"ZAP"
"394","Z0357F03","Z0357","Z0349",403.3164004,"ZAP"
"395","Z0357F04","Z0357","Z0330",336.3967154,"ZAP"
"396","Z0357F05","Z0357","Z0351",412.9054226,"ZAP"
"397","Z0357F07","Z0357","Z0329",335.1970676,"ZAP"
"398","Z0357F08","Z0357","Z0350",406.1172029,"ZAP"
"399","Z0357F09","Z0357","Z0564",75.711966,"ZAP"
"400","Z0357F11","Z0357","Z0718",982.8631199,"ZAP"
"401","Z0357F12","Z0357","Z0349",403.3164004,"ZAP"
"402","Z0357F13","Z0357","Z0577",107.2436427,"ZAP"
"403","Z0357F14","Z0357","Z0349",403.3164004,"ZAP"
"404","Z0377F01","Z0377","Z0376",9.9039639,"ZAP"
"405","Z0377F02","Z0377","Z0327",265.6981822,"ZAP"
"406","Z0377F03","Z0377","Z0375",8.4216447,"ZAP"
"407","Z0377F04","Z0377","Z0375",8.4216447,"ZAP"
"408","Z0377F05","Z0377","Z0558",740.0966157,"ZAP"
"409","Z0377F06","Z0377","Z0375",8.4216447,"ZAP"
"410","Z0377F08","Z0377","Z0375",8.4216447,"ZAP"
"411","Z0377F09","Z0377","Z0374",12.4027255,"ZAP"
"412","Z0377F10","Z0377","Z0375",8.4216447,"ZAP"
"413","Z0377F11","Z0377","Z0718",459.5185524,"ZAP"
"414","Z0377F13","Z0377","Z0377",0,"ZAP"
"415","Z0377F14","Z0377","Z0375",8.4216447,"ZAP"
"416","Z0377F15","Z0377","Z0374",12.4027255,"ZAP"
"417","Z0386F01","Z0386","Z0733",309.1759423,"ZAP"
"418","Z0386F03","Z0386","Z0709",201.738302,"ZAP"
"419","Z0386F05","Z0386","Z0388",25.6522358,"ZAP"
"420","Z0386F06","Z0386","Z0388",25.6522358,"ZAP"
"421","Z0386F07","Z0386","Z0595",546.3022259,"ZAP"
"422","Z0386F08","Z0386","Z0383",124.1928359,"ZAP"
"423","Z0386F09","Z0386","Z0573",671.5836142,"ZAP"
"424","Z0386F10","Z0386","Z0718",234.1928319,"ZAP"
"425","Z0386F11","Z0386","Z0573",671.5836142,"ZAP"
"426","Z0386F12","Z0386","Z0568",677.7083273,"ZAP"
"427","Z0386F13","Z0386","Z0388",25.6522358,"ZAP"
"428","Z0386F14","Z0386","Z0393",95.4860456,"ZAP"
"429","Z0386F15","Z0386","Z0390",72.6101095,"ZAP"
"430","Z0562F02","Z0562mother","Z0765",1100.0063728,"ZAP"
"431","Z0562F03","Z0562mother","Z0385",656.1139673,"ZAP"
"432","Z0562F04","Z0562mother","Z0578",62.125539,"ZAP"
"433","Z0562F09","Z0562mother","Z0583",111.6524666,"ZAP"
"434","Z0562F12","Z0562mother","Z0572",43.5481033,"ZAP"
"435","Z0562F13","Z0562mother","Z0578",62.125539,"ZAP"
"436","Z0562F14","Z0562mother","Z0325",252.8133804,"ZAP"
"437","Z0562F15","Z0562mother","Z0745",1029.8576673,"ZAP"
"438","Z0562F16","Z0562mother","Z0340",316.1433713,"ZAP"
"439","Z0562F17","Z0562mother","Z0557",262.521713,"ZAP"
"440","Z0562F18","Z0562mother","Z0357",53.7534613,"ZAP"
"441","Z0562F20","Z0562mother","Z0330",282.9528083,"ZAP"
"442","Z0562F21","Z0562mother","Z0364",378.1542295,"ZAP"
"443","Z0562F22","Z0562mother","Z0387",702.1458598,"ZAP"
"444","Z0562F23","Z0562mother","Z0356",54.573248,"ZAP"
"445","Z0562F26","Z0562mother","Z0583",111.6524666,"ZAP"
"446","Z0562F29","Z0562mother","Z0400",831.2161256,"ZAP"
"447","Z0598F01","Z0598","Z0361",189.3193347,"ZAP"
"448","Z0598F02","Z0598","Z0596",7.4948849,"ZAP"
"449","Z0598F04","Z0598","Z0583",79.3477215,"ZAP"
"450","Z0598F05","Z0598","Z0336",109.5248524,"ZAP"
"451","Z0598F06","Z0598","Z0709",750.5086728,"ZAP"
"452","Z0598F07","Z0598","Z0310",33.1741013,"ZAP"
"453","Z0598F08","Z0598","Z0576",136.2856166,"ZAP"
"454","Z0598F09","Z0598","Z0596",7.4948849,"ZAP"
"455","Z0598F10","Z0598","Z0596",7.4948849,"ZAP"
